@relation StockPrediction

@attribute date date yyyy-MM-dd
@attribute positives numeric
@attribute neutrals numeric
@attribute negatives numeric
@attribute total_tweets numeric
@attribute total_articles numeric
@attribute volume numeric
@attribute low_price numeric
@attribute high_price numeric
@attribute open_price numeric
@attribute close_price numeric
@attribute price_change numeric

@data
2019-04-29,10,22,22,0,54,4021300,1934.089966,1956.339966,1949,1938.430054,-0.614417
2019-04-30,14,42,53,0,109,3506000,1906.949951,1935.709961,1930.099976,1926.52002,-0.778606
2019-05-01,13,47,68,0,128,3117000,1910.550049,1943.640015,1933.089966,1911.52002,-0.559768
2019-05-02,18,47,86,0,151,3962900,1881.869995,1921.550049,1913.329956,1900.819946,3.242812
2019-05-03,12,28,74,0,114,6381600,1936,1964.400024,1949,1962.459961,-0.606887
2019-05-06,35,92,189,0,316,5417800,1910.5,1959,1917.97998,1950.550049,-1.51496
2019-05-07,7,49,55,0,111,5902100,1903.380005,1949.099976,1939.98999,1921,-0.168141
2019-05-08,17,54,84,0,155,4078600,1910,1935.369995,1918.869995,1917.77002,-0.933377
2019-05-09,17,37,60,0,114,5308300,1876,1909.400024,1900,1899.869995,-0.520563
2019-05-10,18,54,88,0,160,5718000,1856,1903.790039,1898,1889.97998,-3.56088
2019-05-13,22,116,160,0,298,5783400,1818,1846.540039,1836.560059,1822.680054,0.95683
2019-05-14,12,44,65,0,121,4629100,1815.75,1852.439941,1839.5,1840.119995,1.686305
2019-05-15,12,43,70,0,125,4692600,1823,1874.430054,1827.949951,1871.150024,1.946392
2019-05-16,13,54,91,0,158,4707800,1882.290039,1917.51001,1885.939941,1907.569946,-2.021941
2019-05-17,10,48,65,0,123,4736600,1867.329956,1910.530029,1893.050049,1869,-0.536652
2019-05-20,28,163,196,80,307,3798200,1835.540039,1867.780029,1852.689941,1858.969971,-0.077998
2019-05-21,16,73,109,80,118,4005100,1846,1879,1874.790039,1857.52002,0.116286
2019-05-22,26,106,182,152,162,2936600,1851,1871.48999,1851.780029,1859.680054,-2.376757
2019-05-23,19,51,117,72,115,4424300,1804.199951,1844,1836.589966,1815.47998,0.429641
2019-05-24,26,90,189,152,153,3369700,1817.849976,1841.76001,1835.890015,1823.280029,0
